species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,9.683200e+04,2.175707e+00,6.991830e-03
Kplus,0.1000,0.2000,0.1500,2.606980e+05,5.857592e+00,1.147229e-02
Kplus,0.2000,0.3000,0.2500,3.548770e+05,7.973689e+00,1.338506e-02
Kplus,0.3000,0.4000,0.3500,3.724540e+05,8.368624e+00,1.371254e-02
Kplus,0.4000,0.5000,0.4500,3.348440e+05,7.523570e+00,1.300178e-02
Kplus,0.5000,0.6000,0.5500,2.722020e+05,6.116074e+00,1.172268e-02
Kplus,0.6000,0.7000,0.6500,2.073430e+05,4.658765e+00,1.023119e-02
Kplus,0.7000,0.8000,0.7500,1.506570e+05,3.385094e+00,8.721197e-03
Kplus,0.8000,0.9000,0.8500,1.073780e+05,2.412663e+00,7.362734e-03
Kplus,0.9000,1.0000,0.9500,7.416200e+04,1.666337e+00,6.118883e-03
Kplus,1.0000,1.1000,1.0500,5.114600e+04,1.149193e+00,5.081446e-03
Kplus,1.1000,1.2000,1.1500,3.522700e+04,7.915113e-01,4.217152e-03
Kplus,1.2000,1.3000,1.2500,2.445500e+04,5.494765e-01,3.513705e-03
Kplus,1.3000,1.4000,1.3500,1.678200e+04,3.770728e-01,2.910739e-03
Kplus,1.4000,1.5000,1.4500,1.152200e+04,2.588864e-01,2.411823e-03
Kminus,0.0000,0.1000,0.0500,6.656600e+04,1.495664e+00,5.797058e-03
Kminus,0.1000,0.2000,0.1500,1.827630e+05,4.106480e+00,9.605624e-03
Kminus,0.2000,0.3000,0.2500,2.512370e+05,5.645014e+00,1.126220e-02
Kminus,0.3000,0.4000,0.3500,2.631560e+05,5.912821e+00,1.152625e-02
Kminus,0.4000,0.5000,0.4500,2.326500e+05,5.227385e+00,1.083760e-02
Kminus,0.5000,0.6000,0.5500,1.834850e+05,4.122703e+00,9.624579e-03
Kminus,0.6000,0.7000,0.6500,1.357090e+05,3.049229e+00,8.277244e-03
Kminus,0.7000,0.8000,0.7500,9.577300e+04,2.151912e+00,6.953492e-03
Kminus,0.8000,0.9000,0.8500,6.608500e+04,1.484856e+00,5.776076e-03
Kminus,0.9000,1.0000,0.9500,4.493300e+04,1.009594e+00,4.762820e-03
Kminus,1.0000,1.1000,1.0500,3.069400e+04,6.896598e-01,3.936481e-03
Kminus,1.1000,1.2000,1.1500,2.059200e+04,4.626792e-01,3.224265e-03
Kminus,1.2000,1.3000,1.2500,1.386300e+04,3.114861e-01,2.645514e-03
Kminus,1.3000,1.4000,1.3500,8.928000e+03,2.006022e-01,2.123042e-03
Kminus,1.4000,1.5000,1.4500,5.894000e+03,1.324316e-01,1.724990e-03
K0S,0.0000,0.1000,0.0500,8.170250e+04,1.835764e+00,4.541341e-03
K0S,0.1000,0.2000,0.1500,2.207785e+05,4.960646e+00,7.465258e-03
K0S,0.2000,0.3000,0.2500,3.021495e+05,6.788961e+00,8.733280e-03
K0S,0.3000,0.4000,0.3500,3.163400e+05,7.107806e+00,8.936007e-03
K0S,0.4000,0.5000,0.4500,2.825270e+05,6.348065e+00,8.444937e-03
K0S,0.5000,0.6000,0.5500,2.271875e+05,5.104649e+00,7.572838e-03
K0S,0.6000,0.7000,0.6500,1.706405e+05,3.834101e+00,6.563077e-03
K0S,0.7000,0.8000,0.7500,1.231315e+05,2.766627e+00,5.575079e-03
K0S,0.8000,0.9000,0.8500,8.671900e+04,1.948479e+00,4.678682e-03
K0S,0.9000,1.0000,0.9500,5.964250e+04,1.340100e+00,3.880113e-03
K0S,1.0000,1.1000,1.0500,4.092750e+04,9.195951e-01,3.214209e-03
K0S,1.1000,1.2000,1.1500,2.796950e+04,6.284434e-01,2.657105e-03
K0S,1.2000,1.3000,1.2500,1.894000e+04,4.255606e-01,2.186535e-03
K0S,1.3000,1.4000,1.3500,1.293000e+04,2.905226e-01,1.806615e-03
K0S,1.4000,1.5000,1.4500,8.935500e+03,2.007707e-01,1.501848e-03
